GWSCOD,GWSNAM,groep_id,groep_naam,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig
201,Silomais,1,Silomais,0,1,1,0,0,0,0
202,Korrelmais,2,Korrelmais,0,1,1,0,0,0,0
901,Aardappelen (niet-vroege),3,Aardappelen (niet-vroege),0,1,1,0,0,0,0
902,Aardappelen (pootgoed),4,Aardappelen (pootgoed),0,1,1,0,0,0,0
904,"Aardappelen (vroege, rooi na 1906)",5,Aardappelen (vroege),0,1,1,0,0,0,0
71,Voederbieten,6,Voederbieten,0,1,1,0,0,0,0
91,Suikerbieten,7,Suikerbieten,0,1,1,0,0,0,0
311,Wintertarwe,8,"Wintertarwe, Triticale en Spelt",0,1,1,0,0,0,0
35,Triticale,8,"Wintertarwe, Triticale en Spelt",0,1,1,0,0,0,0
36,Spelt,8,"Wintertarwe, Triticale en Spelt",1,1,1,0,0,0,0
321,Wintergerst,9,Wintergerst,0,1,1,0,0,0,0
312,Zomertarwe,11,Zomertarwe,1,1,1,0,0,0,0
322,Zomergerst,12,Zomergerst,1,1,1,0,0,0,0
323,Brouwgerst,10,Brouwgerst,1,1,1,0,0,0,0
342,Zomerhaver,13,Zomerhaver,1,1,1,0,0,0,0
921,Vezelvlas (bestemd voor vezelproductie),14,Vezelvlas (vezelproductie),1,1,1,0,0,0,0
9822,Hop,15,Hop,1,1,1,0,0,0,0
60,Grasland,16,Gras,1,1,1,0,1,1,0
700,Grasklaver,16,Gras,1,1,1,0,1,1,0
634,Italiaans raaigras,17,Italiaans raaigras,1,1,1,0,1,1,0
721,Eenjarige klaver,18,Eenjarige klaver,1,1,1,0,0,0,0
731,Eenjarige luzerne,19,Eenjarige luzerne,1,1,1,0,0,0,0
643,Gele mosterd,20,Gele mosterd en Bladrammanas,1,1,1,0,1,0,0
656,Bladrammenas,20,Bladrammenas,1,1,1,0,1,0,0
645,Facelia,21,Facelia,1,1,1,0,1,0,0
639,Snijrogge,17,Snijrogge,1,1,1,0,1,0,0
648,Andere vlinderbloemige groenbedekkers,20,Gele mosterd en Bladrammanas,1,1,1,0,1,0,0
658,Mengsel met 1 of meer vlinderbloemige groenbedekkers,20,Gele mosterd en Bladrammanas,1,1,1,0,1,0,0
659,Mengsel van niet-vlinderbloemige groenbedekkers,20,Gele mosterd en Bladrammanas,1,1,1,0,1,0,0
8563,Ajuinen (vroege) - industrie,25,Ajuinen,1,1,1,1,0,0,0
9563,Ajuinen (vroege) - vers,25,Ajuinen,1,1,1,1,0,0,0
8514,Ajuinen (niet-vroege) - industrie,26,Ajuinen (niet vroege),1,1,1,1,0,0,0
9514,Ajuinen (niet vroege) - vers,26,Ajuinen (niet vroege),1,1,1,1,0,0,0
8564,Wortel (vroege) (consumptie) - industrie,27,Wortel (vroege) - industrie,1,1,1,1,0,0,0
9564,Wortel (vroege) (consumptie) - vers,28,Wortel (vroege)  - vers,1,1,1,1,0,0,0
8535,Wortel (niet-vroege) (consumptie) - industrie,29,Wortel (niet-vroege) - industrie,1,1,1,1,0,0,0
9535,Wortel (niet-vroege) (consumptie) - vers,30,Wortel (niet-vroege) - vers,1,1,1,1,0,0,0
9811,Cichorei (inuline),31,Cichorei (inuline),1,1,1,1,0,0,0
9561,Witloofwortel,32,Witloofwortel,1,1,1,1,0,0,0
8538,Prei - industrie,33,Prei,1,1,1,1,0,0,0
9538,Prei - vers,33,Prei,1,1,1,1,0,0,0
8519,Spinazie - industrie,34,Spinazie,1,1,1,1,0,0,0
9519,Spinazie - vers,34,Spinazie,1,1,1,1,0,0,0
8523,Bloemkool - industrie,35,Bloemkool en broccoli - industrie,1,1,1,1,0,0,0
9523,Bloemkool - vers,36,Bloemkool en broccoli - vers,1,1,1,1,0,0,0
8525,Broccoli - industrie,35,Bloemkool en broccoli - industrie,1,1,1,1,0,0,0
9525,Broccoli - vers,36,Bloemkool en broccoli - vers,1,1,1,1,0,0,0
8512,Spruitkool - industrie,37,Spruitkool - industrie,1,1,1,1,0,0,0
9512,Spruitkolen - vers,38,Spruitkolen - vers,1,1,1,1,0,0,0
8540,Witte kool - industrie,39,Kolen - industrie,1,1,1,1,0,0,0
9540,Witte kool - vers,40,Kolen - vers,1,1,1,1,0,0,0
8527,Rode kool - industrie,39,Kolen - industrie,1,1,1,1,0,0,0
9527,Rode kool - vers,40,Kolen - vers,1,1,1,1,0,0,0
8546,Savooikool - industrie,39,Kolen - industrie,1,1,1,1,0,0,0
9546,Savooikool - vers,40,Kolen - vers,1,1,1,1,0,0,0
8543,Knolselder - industrie,41,Knolselder - industrie,1,1,1,1,0,0,0
9543,Knolselder - vers,42,Knolselder - vers,1,1,1,1,0,0,0
8409,Pastinaak - industrie,43,Pastinaak ,1,1,1,1,0,0,0
9409,Pastinaak - vers,43,Pastinaak ,1,1,1,1,0,0,0
8533,Schorseneer - industrie,44,Schorseneer,1,1,1,1,0,0,0
9533,Schorseneer - vers,44,Schorseneer,1,1,1,1,0,0,0
8518,Kropsla - industrie,45,Kropsla,0,1,1,1,0,0,0
9518,Kropsla - vers,45,Kropsla,0,1,1,1,0,0,0
8511,Asperge - industrie,46,Asperge,1,1,1,1,0,0,0
9511,Asperge - vers,46,Asperge,1,1,1,1,0,0,0
8541,Courgettes - industrie,47,Courgettes - industrie,1,1,1,1,0,0,0
9541,Courgettes - vers,48,Courgettes - vers,1,1,1,1,0,0,0
8410,Stamslabonen - industrie,49,Stamslabonen,1,1,1,1,0,0,1
9410,Stamslabonen - vers,49,Stamslabonen,1,1,1,1,0,0,1
832,Tuin- en veldbonen (Vicia faba) - vers,50,Tuin- en veldbonen,1,1,1,1,0,0,0
932,Tuin- en veldbonen (Vicia faba) - industrie,50,Tuin- en veldbonen,1,1,1,1,0,0,0
52,Tuin- en veldbonen (droog geoogst),50,Tuin- en veldbonen,1,1,1,1,0,0,0
51,Voedererwten (niet voor menselijke consumptie),51,Voedererwten,1,1,1,1,0,0,0
831,Erwten (andere dan droog geoogst) - industrie,52,Erwten,1,1,1,1,0,0,0
931,Erwten (andere dan droog geoogst) - vers,52,Erwten,1,1,1,1,0,0,0
9710,Meerjarige fruitteelten (appel),53,Meerjarige fruitteelten,1,1,1,0,0,1,0
9711,Meerjarige fruitteelten (peer),53,Meerjarige fruitteelten,1,1,1,0,0,1,0
9716,Wijnstokken,54,Wijnstokken,1,1,1,0,0,1,0
9602,Boomkweek - fruitplanten,55,Boomkweek - fruitplanten,1,1,1,0,0,1,1
9560,Boomkweek - bosplanten,56,Boomkweek - bosplanten,1,1,1,0,0,1,0
9603,Boomkweek - sierplanten,57,Boomkweek - sierplanten,1,1,1,0,0,1,0
9547,Chrysanten,58,Chrysanten,1,1,1,0,0,0,0
9516,Aardbeien,59,Aardbeien,1,1,1,0,0,0,1
9718,Rode bessen,60,Rode bessen,1,1,1,0,0,1,1
9722,Blauwe bessen,61,Blauwe bessen,1,1,1,0,0,1,0
9821,Tabak,62,Tabak,1,1,1,0,0,0,0
-1000,gemengde_groenten,63,gemengde_groenten,1,1,1,1,0,0,1
