,GWSCOD,jaar,perceel_id,type
0,201,2016,201,2
1,201,2017,201,2
0,202,2016,202,2
1,202,2017,202,2
0,901,2016,901,2
1,901,2017,901,2
0,902,2016,902,2
1,902,2017,902,2
0,904,2016,904,2
1,904,2017,904,2
0,71,2016,71,2
1,71,2017,71,2
0,91,2016,91,2
1,91,2017,91,2
0,311,2016,311,2
1,311,2017,311,2
2,311,2017,311,3
0,35,2016,35,2
1,35,2017,35,2
0,36,2016,36,2
1,36,2017,36,2
0,321,2016,321,2
1,321,2017,321,2
2,321,2017,321,3
0,312,2016,312,2
1,312,2017,312,2
0,322,2016,322,2
1,322,2017,322,2
0,323,2016,323,2
1,323,2017,323,2
0,342,2016,342,2
1,342,2017,342,2
0,921,2016,921,2
1,921,2017,921,2
0,9822,2016,9822,2
1,9822,2017,9822,2
0,60,2016,60,2
1,60,2017,60,2
0,700,2016,700,2
1,700,2017,700,2
0,634,2016,634,2
1,634,2017,634,2
0,721,2016,721,2
1,721,2017,721,2
0,731,2016,731,2
1,731,2017,731,2
0,643,2016,643,2
1,643,2017,643,2
0,656,2016,656,2
1,656,2017,656,2
0,645,2016,645,2
1,645,2017,645,2
0,639,2016,639,2
1,639,2017,639,2
0,648,2016,648,2
1,648,2017,648,2
0,658,2016,658,2
1,658,2017,658,2
0,659,2016,659,2
1,659,2017,659,2
0,8563,2016,8563,2
1,8563,2017,8563,2
0,9563,2016,9563,2
1,9563,2017,9563,2
0,8514,2016,8514,2
1,8514,2017,8514,2
0,9514,2016,9514,2
1,9514,2017,9514,2
0,8564,2016,8564,2
1,8564,2017,8564,2
0,9564,2016,9564,2
1,9564,2017,9564,2
0,8535,2016,8535,2
1,8535,2017,8535,2
0,9535,2016,9535,2
1,9535,2017,9535,2
0,9811,2016,9811,2
1,9811,2017,9811,2
0,9561,2016,9561,2
1,9561,2017,9561,2
0,8538,2016,8538,2
1,8538,2017,8538,2
0,9538,2016,9538,2
1,9538,2017,9538,2
0,8519,2016,8519,2
1,8519,2017,8519,2
0,9519,2016,9519,2
1,9519,2017,9519,2
0,8523,2016,8523,2
1,8523,2017,8523,2
0,9523,2016,9523,2
1,9523,2017,9523,2
0,8525,2016,8525,2
1,8525,2017,8525,2
0,9525,2016,9525,2
1,9525,2017,9525,2
0,8512,2016,8512,2
1,8512,2017,8512,2
0,9512,2016,9512,2
1,9512,2017,9512,2
0,8540,2016,8540,2
1,8540,2017,8540,2
0,9540,2016,9540,2
1,9540,2017,9540,2
0,8527,2016,8527,2
1,8527,2017,8527,2
0,9527,2016,9527,2
1,9527,2017,9527,2
0,8546,2016,8546,2
1,8546,2017,8546,2
0,9546,2016,9546,2
1,9546,2017,9546,2
0,8543,2016,8543,2
1,8543,2017,8543,2
0,9543,2016,9543,2
1,9543,2017,9543,2
0,8409,2016,8409,2
1,8409,2017,8409,2
0,9409,2016,9409,2
1,9409,2017,9409,2
0,8533,2016,8533,2
1,8533,2017,8533,2
0,9533,2016,9533,2
1,9533,2017,9533,2
0,8518,2016,8518,2
1,8518,2017,8518,2
0,9518,2016,9518,2
1,9518,2017,9518,2
0,8511,2016,8511,2
1,8511,2017,8511,2
0,9511,2016,9511,2
1,9511,2017,9511,2
0,8541,2016,8541,2
1,8541,2017,8541,2
0,9541,2016,9541,2
1,9541,2017,9541,2
0,832,2016,832,2
1,832,2017,832,2
0,932,2016,932,2
1,932,2017,932,2
0,52,2016,52,2
1,52,2017,52,2
0,51,2016,51,2
1,51,2017,51,2
0,831,2016,831,2
1,831,2017,831,2
0,931,2016,931,2
1,931,2017,931,2
0,9710,2016,9710,2
1,9710,2017,9710,2
0,9711,2016,9711,2
1,9711,2017,9711,2
0,9716,2016,9716,2
1,9716,2017,9716,2
0,9560,2016,9560,2
1,9560,2017,9560,2
0,9603,2016,9603,2
1,9603,2017,9603,2
0,9547,2016,9547,2
1,9547,2017,9547,2
0,9722,2016,9722,2
1,9722,2017,9722,2
0,9821,2016,9821,2
1,9821,2017,9821,2
