timestamp,year,month,day,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01/1990,1990,1,1,11,47.1,23.4,2.9,18.1,48.8,50.2,23.1,60.4,27.2,16.6,24,19.9,33.6,50.6,18.1,70.1,75.5,43.2,50.3,25.4,25.3,74.8,44.7,65.6,17.7,25.1,56.9,38.4,39.1,36.1,1.9,37.8,35,41,24.3,27.1,39.7,26.3,58.7,77.9,43.4,9.5,4.1,20,68.5,42.8,24.4,27.2,17.7,91.3,26.7,30.4,44.3,64,2.7,24.6,51.1,31.5,36.3,57,62,29.9,36.4,34.1,17.6,9.8,45.3,21.9,19.8,50.4,10.6,15.1,2.7,19.8,1.7,29.5,12.1,29.7,27.8,30.2,48.6,27.9,87.6,42.4,28.3,60.4,33,60.8,35.9,55.6,27.2,4.1,75.3,22.8,37.8,48.6,48.6,12.7,0.5,42,59.1,15.4,51.4,0.4,36,70.3,14.7,2.6,41.1,27.7,12.5,9.3,71,49,27.81,20.64,73.56,55.47,56.39,34.2
15/01/1990,1990,1,15,7.7,25.2,51.9,33.1,33,5.1,8.6,15.7,37.1,27,20,18,53.4,2,19,55,9.4,43.9,21.2,12.8,66.8,24.2,43.9,33.1,27,33.2,21,69.2,21.5,31.3,38.9,28.6,9.9,61.9,3.2,5.5,33.7,27,75.1,37.9,56.5,53.1,30.7,33.7,45.8,24.8,21.1,41.4,59.5,3.7,37.7,7.3,29,50.6,50.2,21.7,28.9,25,57.2,12.9,19,36.2,39.4,52.5,50.4,5.5,12.7,49.9,18.3,23,35.8,28.4,27.3,54.5,38.2,27.5,33.6,69.3,35.5,30.1,31.9,19.4,23.6,32.5,27,45.1,51.5,37.3,73.3,5.5,60.9,6.8,63.9,8.2,7.8,47.1,50.4,97,2.3,2.1,31.3,64.8,31,36,70.4,54.1,82.1,31.6,13,30.9,27.3,36.8,34.2,15.9,33.6,33.11,38.31,41.76,75.64,14.33,48.69
01/02/1990,1990,2,1,24.4,18.2,21.4,27.3,35,9.8,46.9,14.9,29,8.5,12,16.3,35.6,6.8,19.8,20.2,15.9,29.3,30.9,0,28.6,10.3,17.2,3.8,20,38.9,14.3,22.3,28.3,29.4,45.7,2.4,16.9,27.1,10.7,28.2,3.1,36.7,16.7,53.7,35.3,8.1,21.5,15.7,23,28.3,40,59.5,98.2,8.7,38.1,12.8,65,6.7,64,61.5,16.5,54.2,16.2,47.5,32.4,0.4,16.3,32.2,66.2,16.2,11.5,27.1,58.9,10.2,41.8,42.8,48,13.4,28.5,24.3,58.9,2.4,30.6,35.4,25.1,38.6,48.7,24.6,12.2,31.1,73.4,14.7,2.2,23,53.7,9.6,49.6,20.2,36.1,1.7,15.8,34.8,30.4,58.4,1.8,29.3,39.2,67.3,68.1,17.4,21.6,53.2,16.5,34.8,14.6,29.6,16.1,19.2,11.3,47.48,50.52,14.6,69.01,11.44,17.76
15/02/1990,1990,2,15,54.9,5.9,32.3,18.1,16.2,22.3,21.9,15.6,29.3,31.2,61.7,6.4,73.6,41.4,33.9,6,26.8,37.5,48.9,18.1,20.5,44.7,14.1,5.8,29.3,53.2,25,33.4,39.6,33.3,9.1,18.2,13.7,68,7.8,13.3,7.9,41.4,20.4,78.7,6.9,36.3,31.5,23.5,10,13.5,3.2,2.4,50.4,14.3,2.6,6.9,38.2,28.4,7.1,8,26.8,28.1,9.6,88.6,78.5,5.5,25.1,46.6,11.9,4.7,15,3.7,31.6,56.9,25.6,16.4,56.6,23,3.9,26,8.4,16.1,4.3,46.3,4.1,8.2,7.1,18.3,1.5,24,7.2,0.3,7.1,55.4,39.9,46.5,61.9,17.5,10,25.2,23.5,66,41.4,37.5,12.7,41.4,41.2,16.2,100,5.9,14.6,16.9,45.9,39.1,13.4,29.5,53.6,21.7,17.3,10.1,20.11,42.44,40.71,25.78,5.81
01/03/1990,1990,3,1,18,1.2,1.2,47.3,5.3,36,27.6,44.2,49.7,29.5,36.4,15.9,32.4,58,39,34.5,68.9,28.1,35,17.9,1.8,43.2,17.2,14.9,38.5,33,17.1,31.3,19.6,22,1,3.6,16.3,9.2,14.2,21.8,44.2,6.1,8.5,52.5,6.6,49.9,36.8,38.3,25.6,1.5,17.4,29.9,26.3,63.8,0,34.3,5.7,18.7,19.2,4.9,32.9,11.8,33.3,15,15.8,26.3,6.7,0.5,27.2,17.9,8.9,3.1,30.2,41,28.1,31.9,17.7,13.8,30.1,12,38,25.8,8.4,16.1,13.2,71,38.7,72.9,46.7,9.7,23.1,24,22.6,21.6,67.1,39.5,9.1,14.2,37,3,20.9,25.9,7.4,9.9,75.9,44.7,40.3,34,28.6,32.1,12.1,11.3,20.9,37.3,37.1,33.2,8.8,0.8,30.8,30.48,3.06,6.74,39.95,32.96,31.24
15/03/1990,1990,3,15,22.5,17.5,14,64.3,27,16.9,31.4,52.2,32.6,13.1,12.8,57.2,15.5,29.4,61,58.4,56,12.4,45.3,46.2,33.3,30.2,11.2,24,20.3,14.5,25.8,30.3,18.5,35.2,33.7,2.1,14.2,22.1,23.2,24.7,22.1,17.4,8.3,45.2,25.9,42.5,56.3,67.7,37.8,12.2,10.1,5.9,28.3,40.1,35.9,13.1,14.6,80.2,48.8,4.6,16,17.9,4.2,34.5,12.3,50.9,49.6,17.9,34.2,33.2,45.3,48.3,51.5,24.7,41,22.4,43,24.9,21.2,5.1,35.4,92.9,20.3,64.5,79,59.3,60.7,34.5,25,75.1,24.8,52.7,103.7,80,74.4,47.9,20.3,10.4,55.8,1.2,70,51,18.7,14.7,8,27.2,18,78.3,37.9,1.2,13.4,25.7,36,18.1,78.8,68.1,42.8,20.4,0.7,24.49,13.04,45.1,39.27,13.56,37.26
01/04/1990,1990,4,1,24.8,62.3,28.7,47.9,12.6,28.9,16.3,44.8,0.4,33.1,12.1,26.2,19.6,7.1,20,49.3,28.1,47.5,30,48.9,25,22.8,48.7,11.5,56.6,5.2,22.6,20.2,5.8,46.7,29,53.9,27.8,20.1,61.9,4.1,12.4,82.3,15.8,31.1,9.3,29.4,38.8,8.9,19,22.3,21.7,13.4,13.6,52,36.3,20.7,47.4,50.3,8,61.3,24.9,13.5,27.1,5.6,12.4,22.3,15.6,54.5,62.2,14.2,20.9,24.9,25.8,21.1,3.7,15.5,37.6,0.4,50.2,51.7,2,44.4,10,51.2,15.4,9.8,24.2,2.8,30.6,43.1,25.5,95.4,20.2,17.7,2.1,59.4,16.8,13.8,11.8,26.6,51.4,3.7,4.2,6.4,60,43,26,61.1,7.9,10,21.7,20.8,23,0,13.4,10.2,14.7,10.7,29.7,18.66,8.51,12.66,15.39,3.89,28.52
15/04/1990,1990,4,15,11.9,25.8,5,24,37.3,100.1,6.1,15,41.1,22.6,37.3,36.9,35.6,27.3,1.8,20.9,12.4,6.8,75.1,16.7,27.7,62.6,54,22,29.6,21.8,48.9,37.7,22.9,24.4,56.3,15.6,30.9,53,32.5,9.1,53.4,41.8,48.1,69.5,20.5,42.2,37,13.6,0,35.9,12.3,31.3,28,15.4,23.8,27.2,32.8,31.7,7.1,16.7,8,1.5,7.4,26.2,38.5,33.9,18.5,40.3,7.2,27.7,29.4,77.8,35.9,9,15.7,50.8,54.7,25.6,36.3,34.3,24.4,22.7,0.1,29,38.8,58.6,27.6,34,4.4,41.1,2,12.7,36.4,4.8,20.4,33.8,45.5,55.6,39.3,5.4,5.8,47.6,1.8,18,47.3,28,39.1,73.2,29.5,36.9,19.7,24.7,17.1,0,26.7,60.4,0.5,15,67.1,6.29,10.95,11.43,45.64,14.04,1.53
01/05/1990,1990,5,1,46.6,11.8,11.4,8.5,35.6,27.8,37.8,55.9,30.3,36.1,28.8,14.2,52,36.7,7.5,54.6,28.7,31.8,39.3,24.8,9.9,26.3,33.5,12.4,11.1,69.3,27.4,53.8,14.8,0.9,8.8,8.1,57.6,8.7,35.4,52.1,35.8,3.1,8.2,18,12.8,11.2,21,16.1,9.8,31.2,13.4,20.7,34.7,25.9,20,10.2,28.1,32.9,36.7,6,12,47.8,13,22.2,16.6,3,5.2,25.7,32.3,31,9.4,47.3,19.5,22.4,41.2,21.9,15.2,14.2,32.7,35,5.7,17.3,7.8,57.2,117.1,23.9,34.5,37.1,18.9,51.4,29.4,39.6,27.7,36.7,60,19.9,15.4,19.3,26,17.2,15,2.6,23.7,60,3.4,17.2,18.3,8.2,41.4,50.8,29.9,34,11.8,38,2.2,29.4,38.4,2.6,33.1,32.23,39.3,34.4,11.73,23.31,
15/05/1990,1990,5,15,23.3,69.8,31.8,1,57.6,13,6.3,39.5,43.5,30.5,44.3,21.5,44.1,25.1,27.6,45,27.6,10.5,37,47.3,25.3,0.2,43.1,5.7,1.2,50.5,58.3,31.5,52.8,18.9,65.8,5.4,58,70,32.6,74.7,5.1,36,11.6,47.3,46.9,36.4,21.5,31.7,92.9,28.9,13.3,79.4,33.5,8.9,31,43.6,64.1,33.7,5.9,29.9,25.1,40.6,16.8,19.7,37.3,7.2,34.2,10.6,50.3,24.8,34.3,96.2,19.7,45.9,12.3,55.4,18,119.5,64.8,44.6,48.5,2.1,21.4,21.3,5.4,36.8,32.7,71.5,34.9,47.7,103.6,19.5,24.4,44.1,56,0,3.6,7.6,28.7,56.5,54.4,57.7,47,30.8,32.1,22.8,67.9,21.8,20.3,34.7,16.5,25.3,78.9,51.5,42.6,34.8,27.6,20.6,27.8,93.64,11.58,25.53,64.33,19.65,
