,subgroep_id,dagen_na,bedekking(%),hoogte(m),effectieve_valhoogte(m)
0,0,0,0,0,0
0,0,1,0,0,0
9,0,2000,0,0,0
0,1001,0,0,0.01,0
1,1001,7,1,0.03,0.01
2,1001,14,4,0.11,0.04
3,1001,21,13,0.38,0.15
4,1001,28,38,1.08,0.43
5,1001,35,69,1.97,0.79
6,1001,42,87,2.48,0.99
7,1001,49,93,2.64,1.06
8,1001,56,94,2.69,1.07
9,1001,2000,94,2.69,1.07
10,1002,0,0,0.01,0
11,1002,7,1,0.03,0.01
12,1002,14,4,0.11,0.04
13,1002,21,13,0.38,0.15
14,1002,28,38,1.08,0.43
15,1002,35,69,1.97,0.79
16,1002,42,87,2.48,0.99
17,1002,49,93,2.64,1.06
18,1002,56,94,2.69,1.07
19,1002,2000,94,2.69,1.07
20,2001,0,0,0,0
21,2001,7,1.65,0.03,0.02
22,2001,14,2.35,0.06,0.02
23,2001,21,2.59,0.07,0.03
24,2001,28,4.23,0.12,0.05
25,2001,35,7.05,0.29,0.12
26,2001,42,12.46,0.62,0.24
27,2001,49,23.15,1.22,0.48
28,2001,56,40.89,1.85,0.74
29,2001,63,59.1,2.33,0.93
30,2001,70,76.38,2.58,1.03
31,2001,77,84.6,2.64,1.05
32,2001,84,89.3,2.67,1.06
33,2001,91,91.36,2.68,1.07
34,2001,98,93.41,2.69,1.07
35,2001,105,94,2.69,1.07
36,2001,112,94,2.69,1.07
37,2001,2000,94,2.69,1.07
43,1003,0,0,0,0
44,1003,7,0,0,0
45,1003,14,0,0.01,0.01
46,1003,21,0,0.01,0.01
47,1003,28,1,0.02,0.01
48,1003,35,3,0.03,0.02
49,1003,42,9,0.09,0.06
50,1003,49,19,0.21,0.14
51,1003,56,37,0.43,0.29
52,1003,63,58,0.61,0.41
53,1003,70,77,0.74,0.49
54,1003,77,91,0.79,0.53
55,1003,84,96,0.8,0.53
56,1003,91,98,0.8,0.54
57,1003,98,100,0.81,0.54
58,1003,105,100,0.81,0.54
59,1003,2000,100,0.81,0.54
60,1006,0,0,0,0
61,1006,7,1,0,0
62,1006,14,2,0.01,0
63,1006,21,5,0.01,0
64,1006,28,14,0.02,0.01
65,1006,35,32,0.05,0.02
66,1006,42,57,0.1,0.03
67,1006,49,79,0.17,0.06
68,1006,56,92,0.26,0.09
69,1006,63,97,0.35,0.12
70,1006,70,100,0.42,0.14
71,1006,77,100,0.46,0.16
72,1006,84,100,0.48,0.16
73,1006,91,100,0.49,0.17
74,1006,98,100,0.5,0.17
75,1006,105,100,0.5,0.17
76,1006,2000,100,0.5,0.17
77,2006,0,0,0,0
78,2006,7,0,0.01,0
79,2006,14,0.43,0.01,0
80,2006,21,1.3,0.02,0.01
81,2006,28,2.83,0.02,0.01
82,2006,35,5.98,0.03,0.01
83,2006,42,11.09,0.05,0.02
84,2006,49,19.46,0.09,0.03
85,2006,56,33.7,0.14,0.05
86,2006,63,49.89,0.21,0.07
87,2006,70,67.39,0.29,0.1
88,2006,77,79.57,0.36,0.12
89,2006,84,87.39,0.41,0.14
90,2006,91,91.96,0.44,0.15
91,2006,98,96.52,0.47,0.16
92,2006,105,98.91,0.49,0.17
93,2006,112,100,0.5,0.17
94,2006,119,100,0.5,0.17
95,2006,126,100,0.5,0.17
96,2006,133,100,0.5,0.17
97,2006,2000,100,0.5,0.17
98,1007,0,0,0,0
99,1007,7,0,0.01,0
100,1007,14,0,0.02,0
101,1007,21,1,0.02,0.01
102,1007,28,3,0.03,0.01
103,1007,35,6,0.04,0.02
104,1007,42,10,0.07,0.02
105,1007,49,18,0.11,0.04
106,1007,56,31,0.18,0.06
107,1007,63,46,0.26,0.09
108,1007,70,62,0.36,0.12
109,1007,77,73,0.45,0.15
110,1007,84,80,0.51,0.17
111,1007,91,85,0.55,0.18
112,1007,98,89,0.59,0.2
113,1007,105,91,0.6,0.2
114,1007,112,91,0.61,0.21
115,1007,119,92,0.62,0.21
116,1007,126,92,0.62,0.21
117,1007,133,92,0.62,0.21
118,1007,140,92,0.62,0.21
119,1007,147,92,0.62,0.21
120,1007,154,92,0.62,0.21
121,1007,161,92,0.62,0.21
122,1007,168,92,0.62,0.21
123,1007,2000,92,0.62,0.21
124,1008,0,0,,0
125,1008,7,5,,0.02
126,1008,14,14,,0.04
127,1008,21,25,,0.06
128,1008,28,25,,0.06
129,1008,35,25,,0.06
130,1008,42,25,,0.06
131,1008,49,25,,0.06
132,1008,56,25,,0.06
133,1008,63,25,,0.06
134,1008,70,25,,0.06
135,1008,77,25,,0.06
136,1008,84,25,,0.06
137,1008,91,25,,0.06
138,1008,98,25,,0.06
139,1008,105,25,,0.06
140,1008,112,25,,0.06
141,1008,119,25,,0.06
142,1008,126,25,,0.06
143,1008,133,25,,0.06
144,1008,140,25,,0.06
145,1008,147,25,,0.06
146,1008,154,25,,0.06
147,1008,161,25,,0.06
148,1008,168,27,,0.06
149,1008,175,29,,0.07
150,1008,182,32,,0.07
151,1008,189,37,,0.09
152,1008,196,42,,0.1
153,1008,203,48,,0.12
154,1008,210,55,,0.16
155,1008,217,62,,0.19
156,1008,224,70,,0.23
157,1008,231,79,,0.29
158,1008,238,88,,0.35
159,1008,2000,88,,0.35
160,2008,0,0,,0
161,2008,7,4,,0.01
162,2008,14,5,,0.02
163,2008,21,5,,0.02
164,2008,28,5,,0.02
165,2008,35,5,,0.02
166,2008,42,5,,0.02
167,2008,49,5,,0.02
168,2008,56,5,,0.02
169,2008,63,5,,0.02
170,2008,70,5,,0.02
171,2008,77,5,,0.02
172,2008,84,5,,0.02
173,2008,91,5,,0.02
174,2008,98,5,,0.02
175,2008,105,5,,0.02
176,2008,112,5,,0.02
177,2008,119,5,,0.02
178,2008,126,5,,0.02
179,2008,133,5,,0.02
180,2008,140,5,,0.02
181,2008,147,5,,0.02
182,2008,154,5,,0.02
183,2008,161,5,,0.02
184,2008,168,7,,0.02
185,2008,175,9,,0.03
186,2008,182,12,,0.03
187,2008,189,19,,0.05
188,2008,196,26,,0.06
189,2008,203,33,,0.08
190,2008,210,40,,0.1
191,2008,217,47,,0.12
192,2008,224,56,,0.16
193,2008,231,65,,0.21
194,2008,238,75,,0.26
195,2008,245,85,,0.32
196,2008,2000,85,,0.32
197,1009,0,0,,0
198,1009,7,5,,0.02
199,1009,14,15,,0.05
200,1009,21,32,,0.08
201,1009,28,58,,0.17
202,1009,35,66,,0.2
203,1009,42,66,,0.2
204,1009,49,66,,0.2
205,1009,56,66,,0.2
206,1009,63,66,,0.2
207,1009,70,66,,0.2
208,1009,77,66,,0.2
209,1009,84,66,,0.2
210,1009,91,66,,0.2
211,1009,98,66,,0.2
212,1009,105,66,,0.2
213,1009,112,66,,0.2
214,1009,119,66,,0.2
215,1009,126,66,,0.2
216,1009,133,66,,0.2
217,1009,140,66,,0.2
218,1009,147,66,,0.2
219,1009,154,66,,0.2
220,1009,161,66,,0.2
221,1009,168,66,,0.2
222,1009,175,66,,0.2
223,1009,182,67,,0.21
224,1009,189,70,,0.22
225,1009,196,73,,0.24
226,1009,203,77,,0.27
227,1009,210,83,,0.31
228,1009,217,89,,0.35
229,1009,224,91,,0.37
230,1009,231,91,,0.37
231,1009,238,91,,0.37
