,GWSCOD,GWSNAM,groep_id,groep_naam,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig
0,201,Silomais,1,Silomais,0,1,1,0,0,0,0
1,202,Korrelmais,2,Korrelmais,0,1,1,0,0,0,0
2,901,Aardappelen (niet-vroege),3,Aardappelen (niet-vroege),0,1,1,0,0,0,0
3,902,Aardappelen (pootgoed),4,Aardappelen (pootgoed),0,1,1,0,0,0,0
4,904,"Aardappelen (vroege, rooi na 1906)",5,Aardappelen (vroege),0,1,1,0,0,0,0
5,71,Voederbieten,6,Voederbieten,0,1,1,0,0,0,0
6,91,Suikerbieten,7,Suikerbieten,0,1,1,0,0,0,0
7,311,Wintertarwe,8,"Wintertarwe, Triticale en Spelt",0,1,1,0,0,0,0
8,35,Triticale,8,"Wintertarwe, Triticale en Spelt",0,1,1,0,0,0,0
9,36,Spelt,8,"Wintertarwe, Triticale en Spelt",1,1,1,0,0,0,0
10,321,Wintergerst,9,Wintergerst,0,1,1,0,0,0,0
11,312,Zomertarwe,11,Zomertarwe,1,1,1,0,0,0,0
12,322,Zomergerst,12,Zomergerst,1,1,1,0,0,0,0
13,323,Brouwgerst,10,Brouwgerst,1,1,1,0,0,0,0
14,342,Zomerhaver,13,Zomerhaver,1,1,1,0,0,0,0
15,921,Vezelvlas (bestemd voor vezelproductie),14,Vezelvlas (vezelproductie),1,1,1,0,0,0,0
16,9822,Hop,15,Hop,1,1,1,0,0,0,0
17,60,Grasland,16,Gras,1,1,1,0,1,1,0
18,700,Grasklaver,16,Gras,1,1,1,0,1,1,0
19,634,Italiaans raaigras,17,Italiaans raaigras,1,1,1,0,1,1,0
20,721,Eenjarige klaver,18,Eenjarige klaver,1,1,1,0,0,0,0
21,731,Eenjarige luzerne,19,Eenjarige luzerne,1,1,1,0,0,0,0
22,643,Gele mosterd,20,Gele mosterd en Bladrammanas,1,1,1,0,1,0,0
23,656,Bladrammenas,20,Bladrammenas,1,1,1,0,1,0,0
24,645,Facelia,21,Facelia,1,1,1,0,1,0,0
25,639,Snijrogge,17,Snijrogge,1,1,1,0,1,0,0
26,648,Andere vlinderbloemige groenbedekkers,20,Gele mosterd en Bladrammanas,1,1,1,0,1,0,0
27,658,Mengsel met 1 of meer vlinderbloemige groenbedekkers,20,Gele mosterd en Bladrammanas,1,1,1,0,1,0,0
28,659,Mengsel van niet-vlinderbloemige groenbedekkers,20,Gele mosterd en Bladrammanas,1,1,1,0,1,0,0
29,8563,Ajuinen (vroege) - industrie,25,Ajuinen,1,1,1,1,0,0,0
30,9563,Ajuinen (vroege) - vers,25,Ajuinen,1,1,1,1,0,0,0
31,8514,Ajuinen (niet-vroege) - industrie,26,Ajuinen (niet vroege),1,1,1,1,0,0,0
32,9514,Ajuinen (niet vroege) - vers,26,Ajuinen (niet vroege),1,1,1,1,0,0,0
33,8564,Wortel (vroege) (consumptie) - industrie,27,Wortel (vroege) - industrie,1,1,1,1,0,0,0
34,9564,Wortel (vroege) (consumptie) - vers,28,Wortel (vroege)  - vers,1,1,1,1,0,0,0
35,8535,Wortel (niet-vroege) (consumptie) - industrie,29,Wortel (niet-vroege) - industrie,1,1,1,1,0,0,0
36,9535,Wortel (niet-vroege) (consumptie) - vers,30,Wortel (niet-vroege) - vers,1,1,1,1,0,0,0
37,9811,Cichorei (inuline),31,Cichorei (inuline),1,1,1,1,0,0,0
38,9561,Witloofwortel,32,Witloofwortel,1,1,1,1,0,0,0
39,8538,Prei - industrie,33,Prei,1,1,1,1,0,0,0
40,9538,Prei - vers,33,Prei,1,1,1,1,0,0,0
41,8519,Spinazie - industrie,34,Spinazie,1,1,1,1,0,0,0
42,9519,Spinazie - vers,34,Spinazie,1,1,1,1,0,0,0
43,8523,Bloemkool - industrie,35,Bloemkool en broccoli - industrie,1,1,1,1,0,0,0
44,9523,Bloemkool - vers,36,Bloemkool en broccoli - vers,1,1,1,1,0,0,0
45,8525,Broccoli - industrie,35,Bloemkool en broccoli - industrie,1,1,1,1,0,0,0
46,9525,Broccoli - vers,36,Bloemkool en broccoli - vers,1,1,1,1,0,0,0
47,8512,Spruitkool - industrie,37,Spruitkool - industrie,1,1,1,1,0,0,0
48,9512,Spruitkolen - vers,38,Spruitkolen - vers,1,1,1,1,0,0,0
49,8540,Witte kool - industrie,39,Kolen - industrie,1,1,1,1,0,0,0
50,9540,Witte kool - vers,40,Kolen - vers,1,1,1,1,0,0,0
51,8527,Rode kool - industrie,39,Kolen - industrie,1,1,1,1,0,0,0
52,9527,Rode kool - vers,40,Kolen - vers,1,1,1,1,0,0,0
53,8546,Savooikool - industrie,39,Kolen - industrie,1,1,1,1,0,0,0
54,9546,Savooikool - vers,40,Kolen - vers,1,1,1,1,0,0,0
55,8543,Knolselder - industrie,41,Knolselder - industrie,1,1,1,1,0,0,0
56,9543,Knolselder - vers,42,Knolselder - vers,1,1,1,1,0,0,0
57,8409,Pastinaak - industrie,43,Pastinaak ,1,1,1,1,0,0,0
58,9409,Pastinaak - vers,43,Pastinaak ,1,1,1,1,0,0,0
59,8533,Schorseneer - industrie,44,Schorseneer,1,1,1,1,0,0,0
60,9533,Schorseneer - vers,44,Schorseneer,1,1,1,1,0,0,0
61,8518,Kropsla - industrie,45,Kropsla,0,1,1,1,0,0,0
62,9518,Kropsla - vers,45,Kropsla,0,1,1,1,0,0,0
63,8511,Asperge - industrie,46,Asperge,1,1,1,1,0,0,0
64,9511,Asperge - vers,46,Asperge,1,1,1,1,0,0,0
65,8541,Courgettes - industrie,47,Courgettes - industrie,1,1,1,1,0,0,0
66,9541,Courgettes - vers,48,Courgettes - vers,1,1,1,1,0,0,0
67,8410,Stamslabonen - industrie,49,Stamslabonen,1,1,1,1,0,0,1
68,9410,Stamslabonen - vers,49,Stamslabonen,1,1,1,1,0,0,1
69,832,Tuin- en veldbonen (Vicia faba) - vers,50,Tuin- en veldbonen,1,1,1,1,0,0,0
70,932,Tuin- en veldbonen (Vicia faba) - industrie,50,Tuin- en veldbonen,1,1,1,1,0,0,0
71,52,Tuin- en veldbonen (droog geoogst),50,Tuin- en veldbonen,1,1,1,1,0,0,0
72,51,Voedererwten (niet voor menselijke consumptie),51,Voedererwten,1,1,1,1,0,0,0
73,831,Erwten (andere dan droog geoogst) - industrie,52,Erwten,1,1,1,1,0,0,0
74,931,Erwten (andere dan droog geoogst) - vers,52,Erwten,1,1,1,1,0,0,0
75,9710,Meerjarige fruitteelten (appel),53,Meerjarige fruitteelten,1,1,1,0,0,1,0
76,9711,Meerjarige fruitteelten (peer),53,Meerjarige fruitteelten,1,1,1,0,0,1,0
77,9716,Wijnstokken,54,Wijnstokken,1,1,1,0,0,1,0
78,9602,Boomkweek - fruitplanten,55,Boomkweek - fruitplanten,1,1,1,0,0,1,1
79,9560,Boomkweek - bosplanten,56,Boomkweek - bosplanten,1,1,1,0,0,1,0
80,9603,Boomkweek - sierplanten,57,Boomkweek - sierplanten,1,1,1,0,0,1,0
81,9547,Chrysanten,58,Chrysanten,1,1,1,0,0,0,0
82,9516,Aardbeien,59,Aardbeien,1,1,1,0,0,0,1
83,9718,Rode bessen,60,Rode bessen,1,1,1,0,0,1,1
84,9722,Blauwe bessen,61,Blauwe bessen,1,1,1,0,0,1,0
85,9821,Tabak,62,Tabak,1,1,1,0,0,0,0
86,-1000,gemengde_groenten,63,gemengde_groenten,1,1,1,1,0,0,1
