,GWSCOD,jaar,perceel_id,type
0,-1,2016,999999,2
1,-1,2017,999999,2
0,201,2016,1000201,2
1,201,2017,1000201,2
0,202,2016,1000202,2
1,202,2017,1000202,2
0,901,2016,1000901,2
1,901,2017,1000901,2
0,902,2016,1000902,2
1,902,2017,1000902,2
0,904,2016,1000904,2
1,904,2017,1000904,2
0,71,2016,1000071,2
1,71,2017,1000071,2
0,91,2016,1000091,2
1,91,2017,1000091,2
0,311,2016,1000311,2
1,311,2017,1000311,2
2,311,2017,1000311,3
0,35,2016,1000035,2
1,35,2017,1000035,2
0,36,2016,1000036,2
1,36,2017,1000036,2
0,321,2016,1000321,2
1,321,2017,1000321,2
2,321,2017,1000321,3
0,312,2016,1000312,2
1,312,2017,1000312,2
0,322,2016,1000322,2
1,322,2017,1000322,2
0,323,2016,1000323,2
1,323,2017,1000323,2
0,342,2016,1000342,2
1,342,2017,1000342,2
0,921,2016,1000921,2
1,921,2017,1000921,2
0,9822,2016,1009822,2
1,9822,2017,1009822,2
0,60,2016,1000060,2
1,60,2017,1000060,2
2,-1,2016,999940,3
3,60,2017,999940,2
0,700,2016,1000700,2
1,700,2017,1000700,2
0,634,2016,1000634,2
1,634,2017,1000634,2
0,721,2016,1000721,2
1,721,2017,1000721,2
0,731,2016,1000731,2
1,731,2017,1000731,2
0,643,2016,1000643,2
1,643,2017,1000643,2
0,656,2016,1000656,2
1,656,2017,1000656,2
0,645,2016,1000645,2
1,645,2017,1000645,2
0,639,2016,1000639,2
1,639,2017,1000639,2
0,648,2016,1000648,2
1,648,2017,1000648,2
0,658,2016,1000658,2
1,658,2017,1000658,2
0,659,2016,1000659,2
1,659,2017,1000659,2
0,8563,2016,1008563,2
1,8563,2017,1008563,2
0,9563,2016,1009563,2
1,9563,2017,1009563,2
0,8514,2016,1008514,2
1,8514,2017,1008514,2
0,9514,2016,1009514,2
1,9514,2017,1009514,2
0,8564,2016,1008564,2
1,8564,2017,1008564,2
0,9564,2016,1009564,2
1,9564,2017,1009564,2
0,8535,2016,1008535,2
1,8535,2017,1008535,2
0,9535,2016,1009535,2
1,9535,2017,1009535,2
0,9811,2016,1009811,2
1,9811,2017,1009811,2
0,9561,2016,1009561,2
1,9561,2017,1009561,2
0,8538,2016,1008538,2
1,8538,2017,1008538,2
0,9538,2016,1009538,2
1,9538,2017,1009538,2
0,8519,2016,1008519,2
1,8519,2017,1008519,2
0,9519,2016,1009519,2
1,9519,2017,1009519,2
0,8523,2016,1008523,2
1,8523,2017,1008523,2
0,9523,2016,1009523,2
1,9523,2017,1009523,2
0,8525,2016,1008525,2
1,8525,2017,1008525,2
0,9525,2016,1009525,2
1,9525,2017,1009525,2
0,8512,2016,1008512,2
1,8512,2017,1008512,2
0,9512,2016,1009512,2
1,9512,2017,1009512,2
0,8540,2016,1008540,2
1,8540,2017,1008540,2
0,9540,2016,1009540,2
1,9540,2017,1009540,2
0,8527,2016,1008527,2
1,8527,2017,1008527,2
0,9527,2016,1009527,2
1,9527,2017,1009527,2
0,8546,2016,1008546,2
1,8546,2017,1008546,2
0,9546,2016,1009546,2
1,9546,2017,1009546,2
0,8543,2016,1008543,2
1,8543,2017,1008543,2
0,9543,2016,1009543,2
1,9543,2017,1009543,2
0,8409,2016,1008409,2
1,8409,2017,1008409,2
0,9409,2016,1009409,2
1,9409,2017,1009409,2
0,8533,2016,1008533,2
1,8533,2017,1008533,2
0,9533,2016,1009533,2
1,9533,2017,1009533,2
0,8518,2016,1008518,2
1,8518,2017,1008518,2
0,9518,2016,1009518,2
1,9518,2017,1009518,2
0,8511,2016,1008511,2
1,8511,2017,1008511,2
0,9511,2016,1009511,2
1,9511,2017,1009511,2
0,8541,2016,1008541,2
1,8541,2017,1008541,2
0,9541,2016,1009541,2
1,9541,2017,1009541,2
0,832,2016,1000832,2
1,832,2017,1000832,2
0,932,2016,1000932,2
1,932,2017,1000932,2
0,52,2016,1000052,2
1,52,2017,1000052,2
0,51,2016,1000051,2
1,51,2017,1000051,2
0,831,2016,1000831,2
1,831,2017,1000831,2
0,931,2016,1000931,2
1,931,2017,1000931,2
0,9710,2016,1009710,2
1,9710,2017,1009710,2
0,9711,2016,1009711,2
1,9711,2017,1009711,2
0,9716,2016,1009716,2
1,9716,2017,1009716,2
0,9560,2016,1009560,2
1,9560,2017,1009560,2
0,9603,2016,1009603,2
1,9603,2017,1009603,2
0,9547,2016,1009547,2
1,9547,2017,1009547,2
0,9722,2016,1009722,2
1,9722,2017,1009722,2
0,9821,2016,1009821,2
1,9821,2017,1009821,2
