,groep_id,subgroep_id,referenties,voorwaarde,teeltwisseling,zaaidatum,oogstdatum,Bsi,alpha,p,D,Ri,Spi,default,opmerking
0,1,2001,ILVO2019,,,19000501,19001001,365.0,1.41,0.01,30.0,10.2,5,1,verloop gewasgroeicurves geinterpoleerd met verloop gewasgroeicurve opgelijst in Verbist et al. (2004) en data Verstraeten et al. (2001) (zie code GV)
1,2,2001,ILVO2019,,,19000501,19001015,9860.0,3.04,0.01,30.0,10.2,95,1,verloop gewasgroeicurves geinterpoleerd met verloop gewasgroeicurve opgelijst in Verbist et al. (2004) en data Verstraeten et al. (2001) (zie code GV)
2,3,1003,ILVO2019,,,19000415,19001001,2000.0,0.3,0.03,10.0,10.2,6,1,
3,4,1003,ILVO2019,,,19000401,19000815,2000.0,0.3,0.03,10.0,10.2,6,1,
4,5,1003,ILVO2019,,,19000401,19000801,2000.0,0.3,0.03,10.0,10.2,6,1,
5,6,2006,ILVO2019,,,19000401,19001101,2600.0,2.3,0.02,15.0,7.6,45,1,verloop gewasgroeicurves geinterpoleerd met verloop gewasgroeicurve opgelijst in Verbist et al. (2004) en data Verstraeten et al. (2001) (zie code GV)
6,7,1007,ILVO2019,,,19000401,19001101,5270.0,1.78,0.03,10.0,7.6,61,1,verloop gewasgroeicurves geinterpoleerd met verloop gewasgroeicurve opgelijst in Verbist et al. (2004) en data Verstraeten et al. (2001) (zie code GV)
7,8,1008,Verbist2004;Gabriels2003;KMI2003;ILVO2019;Gobin2013,"inzaaidatum=[1015,1030]",,19001015,19000801,3600.0,1.2,0.01,30.0,10.2,100,1,
8,8,2008,Verbist2004;Gabriels2003;KMI2003;ILVO2019;Gobin2013,"inzaaidatum=[1101,1231]",,19001101,19000801,3600.0,1.2,0.01,30.0,10.2,100,0,
9,9,1009,Verbist2004;Gabriels2003;KMI2003;ILVO2019;Gobin2013,"inzaaidatum=[0915,1015]",,19000915,19000715,3600.0,1.2,0.01,30.0,10.2,100,1,
10,9,1008,Verbist2004;Gabriels2003;KMI2003;ILVO2019;Gobin2013,"inzaaidatum=[1015,1030]",,19001015,19000715,3600.0,1.2,0.01,30.0,10.2,100,0,
11,9,2008,Verbist2004;Gabriels2003;KMI2003;ILVO2019;Gobin2013,"inzaaidatum=[1030,1231]",,19001030,19000715,3600.0,1.2,0.01,30.0,10.2,100,0,
